#==========================================
   BEGIN_DATAGAS
#===  ONLY 120 Characters per Line
#------------------------------------------             
#  Name          MolMass  Alpha         Dg 
#                [g/mol]
#
 ClCO[O]                                                                                                                
 [O]OC(Cl)Cl                                                                                                            
 [O]OC(Cl)(Cl)Cl                                                                                                        
 ClC(Cl)(Cl)CO[O]                                                                                                       
 OC(Cl)(Cl)C(Cl)(Cl)O[O]                                                                                                
 OC(Cl)C(Cl)(Cl)O[O]                                                                                                    
 OC(Cl)(Cl)C(Cl)O[O]                                                                                                    
 OC(Cl)C(Cl)O[O]                                                                                                        
 ClCC(Cl)O[O]                                                                                                           
 OC(Cl)(Cl)CO[O]                                                                                                        
 OCC(Cl)(Cl)O[O]                                                                                                        
 ClCC(Cl)CO[O]                                                                                                          
 CC(Cl)(O[O])CCl                                                                                                        
 CC(Cl)C(Cl)O[O]                                                                                                        
 ClC(Cl)CO[O]                                                                                                           
 CC(Cl)(Cl)O[O]                                                                                                         
 CC(Cl)O[O]                                                                                                             
 ClCCO[O]                                                                                                               
 ClC(Cl)C(Cl)(Cl)O[O]                                                                                                   
 ClC(Cl)C(Cl)O[O]                                                                                                       
 ClCC(Cl)(Cl)O[O]                                                                                                       
 OCC=CCO[O]                                                                                                             
 OCC(O[O])C=C                                                                                                           
 C=CC(O)CO[O]                                                                                                           
 O=N(=O)OCC(O[O])C=C                                                                                                    
 O=N(=O)OCC=CCO[O]                                                                                                      
 CC(CO)=CCO[O]                                                                                                          
 CC(O[O])(CO)C=C                                                                                                        
 OCC=C(C)CO[O]                                                                                                          
 OCC(O[O])C(C)=C                                                                                                        
 CC(CON(=O)=O)=CCO[O]                                                                                                   
 O=COCO[O]                                                                                                              
 CC(=O)OCO[O]                                                                                                           
 COC(=O)CO[O]                                                                                                           
 CCOC(=O)CO[O]                                                                                                          
 CC(=O)OCCO[O]                                                                                                          
 CC(=O)OC(O[O])C                                                                                                        
 CC(=O)OCC(O[O])C                                                                                                       
 CC(=O)OC(O[O])CC                                                                                                       
 CC(=O)OCCCO[O]                                                                                                         
 CC(=O)OC(O[O])(C)C                                                                                                     
 CC(=O)OC(C)CO[O]                                                                                                       
 CC(=O)OCCC(O[O])C                                                                                                      
 CC(=O)OCC(O[O])CC                                                                                                      
 CCCC(O[O])OC(=O)C                                                                                                      
 CC(=O)OC(O[O])(C)CC                                                                                                    
 CC(O[O])C(C)OC(=O)C                                                                                                    
 CC(=O)OC(C)(C)CO[O]                                                                                                    
 CC(C)(C)OC(=O)CO[O]                                                                                                    
 COCO[O]                                                                                                                
 CCOC(O[O])C                                                                                                            
 CCOCCO[O]                                                                                                              
 CC(C)(C)OCO[O]                                                                                                         
 COC(C)(C)CO[O]                                                                                                         
 CC(O[O])(C)OC(C)C                                                                                                      
 CC(C)OC(C)CO[O]                                                                                                        
 CCOC(C)(C)CO[O]                                                                                                        
 CC(O[O])OC(C)(C)C                                                                                                      
 CC(C)(C)OCCO[O]                                                                                                        
 COC(O[O])CO                                                                                                            
 OCCOCO[O]                                                                                                              
 CCOC(O[O])CO                                                                                                           
 CC(O[O])OCCO                                                                                                           
 CC(O)C(O[O])OC                                                                                                         
 CC(O)COCO[O]                                                                                                           
 CCCC(O[O])OCCO                                                                                                         
 CCCCOC(O[O])CO                                                                                                         
 CC(O)COC(O[O])CCC                                                                                                      
 CCCCOC(O[O])C(O)C                                                                                                      
 BrCO[O]                                                                                                                
 BrCC(Br)O[O]                                                                                                           
 CC(=O)CO[O]                                                                                                            
 CC(=O)CCO[O]                                                                                                           
 CCC(=O)CO[O]                                                                                                           
 CC(=O)C(O[O])C                                                                                                         
 CCC(O[O])C(=O)C                                                                                                        
 CC(=O)CC(O[O])C                                                                                                        
 CCC(=O)C(O[O])C                                                                                                        
 CCC(=O)CCO[O]                                                                                                          
 CC(=O)C(O[O])(C)C                                                                                                      
 CC(=O)C(C)CO[O]                                                                                                        
 CC(=O)CC(O[O])CC                                                                                                       
 CC(=O)CCC(O[O])C                                                                                                       
 CCCC(O[O])C(=O)C                                                                                                       
 CCCC(=O)CCO[O]                                                                                                         
 CCCC(=O)C(O[O])C                                                                                                       
 CCC(=O)C(O[O])CC                                                                                                       
 CCC(=O)CC(O[O])C                                                                                                       
 CC(=O)CC(O[O])(C)C                                                                                                     
 CC(=O)C(O[O])C(C)C                                                                                                     
 CC(=O)C(C)(C)CO[O]                                                                                                     
 C1C(=O)CC(O[O])CC1                                                                                                     
 C12CC(C1(C)C)CC(O)C2(O[O])C                                                                                            
 C12CC(C1(C)C)CC(O[O])C2(O)C                                                                                            
 C1C(O)C(C)=CCC1C(O[O])(C)C                                                                                             
 C12CC(C1(C)C)CC(ON(=O)=O)C2(O[O])C                                                                                     
 C12CC(C1(C)C)CC(O[O])C2(ON(=O)=O)C                                                                                     
 CC1(C)C(CC12)CCC2(O[O])CO                                                                                              
 CC1(C)C(CC12)CCC2(O)CO[O]                                                                                              
 CC(O[O])(C)C1CC=C(CO)CC1                                                                                               
 CC1(C)C(CC12)CCC2(O[O])CON(=O)(=O)                                                                                     
 CC1(C)C(CC12)CCC2(ON(=O)=O)CO[O]                                                                                       
 COCOCO[O]                                                                                                              
 COC(O[O])OC                                                                                                            
 COC(=O)OCO[O]                                                                                                          
 CCC(C)C(=O)O[O]                                                                                                        
 CC(C)CC(=O)O[O]                                                                                                        
 CC(O[O])(C)CC=O                                                                                                        
 OCC(=O)O[O]                                                                                                            
 CC(O)C(=O)O[O]                                                                                                         
 CC(O)(C)C(=O)O[O]                                                                                                      
 [O-][O+]CC(C)C                                                                                                         
 O=CC(=O)O[O]                                                                                                           
 O=CC1OC1C(O[O])C(O)C=O                                                                                                 
 O=CC=CC1OC1C(=O)O[O]                                                                                                   
 O=CC=CC(O[O])C=O                                                                                                       
 [O]OC1(O)C=CC2OOC1C2O                                                                                                  
 [O]OC1(O)C=CC2OOC1C2ON(=O)=O                                                                                           
 CC(=O)C(O[O])C(O)C1OC1C=O                                                                                              
 CC(=O)C=CC1OC1C(=O)O[O]                                                                                                
 CC(=O)C=CC(O[O])C=O                                                                                                    
 [O]OC1(O)C=CC2(C)OOC1C2O                                                                                               
 [O]OC1(O)C=CC2(C)OOC1C2ON(=O)=O                                                                                        
 CC1(C=O)OC1(C)C(O)C(O[O])C=O                                                                                           
 O=CC=CC1(C)OC1(C)C(=O)O[O]                                                                                             
 CC(=O)C(O[O])(C)C=CC=O                                                                                                 
 [O]OC1(O)C=C(C)C2(C)OOC1C2O                                                                                            
 [O]OC1(O)C=C(C)C2(C)OOC1C2ON(=O)=O                                                                                     
 CC(=O)C(O[O])C(O)C1OC1(C)C=O                                                                                           
 CC(=O)C=CC1OC1(C)C(=O)O[O]                                                                                             
 CC(=O)C=CC(O[O])C(=O)C                                                                                                 
 [O]OC1(O)C=CC2(C)OOC1(C)C2O                                                                                            
 [O]OC1(O)C=CC2(C)OOC1(C)C2ON(=O)=O                                                                                     
 CC(=O)C(O[O])C(O)C1(C)OC1C=O                                                                                           
 CC(=O)C=CC1(C)OC1C(=O)O[O]                                                                                             
 CC(=O)C=CC(O[O])(C)C=O                                                                                                 
 [O]OC1(O)C=C(C)C2OOC1(C)C2O                                                                                            
 [O]OC1(O)C=C(C)C2OOC1(C)C2ON(=O)=O                                                                                     
 CCC(=O)C(O[O])C(O)C1OC1C=O                                                                                             
 CCC(=O)C=CC1OC1C(=O)O[O]                                                                                               
 CCC(=O)C=CC(O[O])C=O                                                                                                   
 [O]OC1(O)C=CC2(CC)OOC1C2O                                                                                              
 CCC12OOC(C2ON(=O)=O)C(O)(O[O])C=C1                                                                                     
 CCCC(=O)C(O[O])C(O)C1OC1C=O                                                                                            
 CCCC(=O)C=CC1OC1C(=O)O[O]                                                                                              
 CCCC(=O)C=CC(O[O])C=O                                                                                                  
 CCCC12OOC(C2O)C(O)(O[O])C=C1                                                                                           
 CCCC12OOC(C2ON(=O)=O)C(O)(O[O])C=C1                                                                                    
 CC(C)C(=O)C=CC1OC1C(=O)O[O]                                                                                            
 CC(C)C(=O)C(O[O])C(O)C1OC1C=O                                                                                          
 CC(C)C(=O)C=CC(O[O])C=O                                                                                                
 [O-][O+]CC(=O)C(C)C*b                                                                                                  
 [O]OC1(O)C=CC2(OOC1C2O)C(C)C                                                                                           
 [O]OC1(O)C=CC2(OOC1C2ON(=O)=O)C(C)C                                                                                    
 CC(=O)C(O)C(O[O])C1OC1(C)C(=O)C                                                                                        
 [O]OC1(O)C2OOC(C)(C2O)C(=C1C)C                                                                                         
 [O]OC1(O)C2OOC(C)(C2ON(=O)=O)C(=C1C)C                                                                                  
 CC(=O)C(O)C(O[O])C1(C)OC1(C)C=O                                                                                        
 CC(=O)C=CC1(C)OC1(C)C(=O)O[O]                                                                                          
 CC(=O)C=CC(O[O])(C)C(=O)C                                                                                              
 [O]OC1(O)C(=C(C)C2OOC1(C)C2O)C                                                                                         
 [O]OC1(O)C(=C(C)C2OOC1(C)C2ON(=O)=O)C                                                                                  
 CC(=O)C(O)C(O[O])(C)C1OC1(C)C=O                                                                                        
 CC(=O)C=C(C)C1OC1(C)C(=O)O[O]                                                                                          
 CC(=O)C(O[O])C(C)=CC(=O)C                                                                                              
 [O]OC1(O)C(=CC2(C)OOC1(C)C2O)C                                                                                         
 [O]OC1(O)C(=CC2(C)OOC1(C)C2ON(=O)=O)C                                                                                  
 CCC1(C=O)OC1(C)C(O)C(O[O])C=O                                                                                          
 O=CC=CC1(C)OC1(C(=O)O[O])CC                                                                                            
 CCC(=O)C(O[O])(C)C=CC=O                                                                                                
 CCC12OOC(C2O)C(O)(O[O])C=C1C                                                                                           
 CCC1=C(C)C2OOC(C2ON(=O)=O)C1(O)O[O]                                                                                    
 CCC(=O)C(O[O])C(O)C1OC1(C)C=O                                                                                          
 CCC(=O)C=CC1OC1(C)C(=O)O[O]                                                                                            
 CCC(=O)C=CC(O[O])C(=O)C                                                                                                
